Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy
393050,1,0.3,-3.65,41
393250,1,1.49,-3.84,61
393450,1,1.12,-3.81,72
393650,1,1.31,0.07,94
393850,1,1.49,-3.84,50
394050,1,1.11,-3.8,73
394250,1,0.85,-3.76,52
394450,1,0.52,-3.71,41
394650,1,0.92,0.1,58
394850,1,1.33,-3.83,41
395050,1,0.94,-3.8,65
395250,1,0.67,-3.73,41
395450,1,0.4,-2.36,49
395650,1,0.23,-2.19,50
395850,1,0.02,-1.75,45
396050,1,0.14,0.02,71
396250,1,0.27,0.02,67
396450,1,0.39,0.06,97
396650,1,0.51,0.05,78
396850,1,0.64,0.07,75
397050,1,0.76,0.13,54
397250,1,0.77,0.08,45
397450,1,0.77,0.06,49
397650,1,0.77,0.04,55
397850,1,0.8,0.04,43
398050,1,0.69,-0.52,42
398250,1,0.63,-0.42,40
398450,1,1.56,-3.82,82
398650,1,1.06,-3.8,50
398850,1,0.65,-3.75,65
399050,1,0.28,-3.68,45
399250,1,0.92,0.04,81
399450,1,1.55,-3.81,82
399650,1,1.05,-3.8,80
399850,1,0.55,-3.74,61
400050,1,0.92,0.04,76
400250,1,1.3,-3.83,41
400450,1,0.86,-3.78,45
400650,1,0.48,-3.71,65
400850,1,0.03,-3.66,50
401050,1,0.42,0.02,92
401250,1,0.81,0.0,48
401450,1,0.9,-1.31,58
401650,1,0.85,0.02,79
401850,1,0.79,0.08,72
402050,1,0.74,-0.21,59
402250,1,0.72,0.1,86
402450,1,0.69,0.03,100
402650,1,0.66,0.05,57
402850,1,0.64,0.01,72
403050,1,0.62,0.03,73
403250,1,0.59,0.02,48
403450,1,0.74,0.02,53
403650,1,0.88,0.07,79
403850,1,1.03,0.07,71
404050,1,1.17,0.1,93
404250,1,1.32,-3.83,85
404450,1,0.75,-1.81,44
404650,1,0.7,-1.85,85
404850,1,0.46,-2.48,58
405050,1,0.17,-2.82,50
405250,1,0.88,0.07,87
405450,1,1.6,-3.84,85
405650,1,1.16,-3.81,45
405850,1,0.99,-3.73,40
406050,1,0.65,-3.67,82
406250,1,0.26,-3.62,52
406450,1,1.5,-3.84,72
406650,1,1.12,-3.81,61
