Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy
412250,1,1.3,-3.83,52
412450,1,0.92,-3.79,61
412650,1,0.66,-3.71,90
412850,1,0.43,-3.62,104
413050,0,N/A,N/A,N/A
413250,1,1.33,-3.83,61
413450,1,0.88,-3.78,61
413650,1,0.62,-3.72,41
413850,1,0.31,-3.66,52
414050,1,1.5,-3.84,74
414250,1,0.81,-1.26,36517
414450,1,0.63,-0.69,41746
414650,1,0.54,-0.43,16229
414850,1,0.51,-0.28,47290
415050,1,0.5,-0.21,17909
415250,1,0.48,-0.16,43281
415450,0,N/A,N/A,N/A
415650,0,N/A,N/A,N/A
415850,0,N/A,N/A,N/A
416050,0,N/A,N/A,N/A
416250,0,N/A,N/A,N/A
416450,1,0.76,0.15,37745
416650,1,0.77,0.09,8080
416850,0,N/A,N/A,N/A
417050,1,0.79,0,1373
417250,1,0.9,-1.24,1226
417450,1,0.77,-1.57,65
417650,1,0.52,-2.06,45
417850,1,0.3,-2.61,58
418050,0,N/A,N/A,N/A
418250,1,1.3,-3.83,40
418450,1,0.93,-3.79,50
418650,1,0.56,-3.74,52
418850,0,N/A,N/A,N/A
419050,1,1.12,-3.84,65
419250,1,0.99,-3.78,40
419450,1,0.46,-3.76,40
419650,1,0.37,-3.64,41
419850,0,N/A,N/A,N/A
420050,0,N/A,N/A,N/A
420250,1,0.75,0,17408
420450,1,0.75,-0.04,31397
420650,1,0.95,-0.06,6893
420850,1,0.91,-0.09,14884
421050,0,N/A,N/A,N/A
421250,0,N/A,N/A,N/A
421450,0,N/A,N/A,N/A
421650,0,N/A,N/A,N/A
421850,0,N/A,N/A,N/A
422050,0,N/A,N/A,N/A
422250,1,0.89,-1.86,27565
422450,1,0.83,-2.51,101
422650,1,0.61,-2.14,4561
422850,1,0.41,-2.69,52
423050,0,N/A,N/A,N/A
423250,1,1.31,-3.83,41
423450,1,0.93,-3.79,52
423650,1,0.88,-2.36,74
423850,1,0.55,-2.81,74
424050,1,0.22,-3.05,45
424250,1,1.51,-3.84,50
424450,1,1.13,-3.81,85
424650,1,0.56,-3.79,65
424850,1,0.43,-3.67,41
425050,0,N/A,N/A,N/A
425250,1,0.55,0.03,37960
425450,1,0.61,0.02,3869
425650,1,0.59,-0.94,100
425850,1,0.59,-0.55,2920
426050,1,0.58,-0.34,12637
426250,1,0.49,-0.75,949
426450,1,1.5,-3.84,73
426650,1,1.12,-3.81,61
426850,1,0.75,-3.77,72
427050,1,0.4,-3.7,61
427250,0,N/A,N/A,N/A
427450,1,1.49,-3.84,74
427650,1,1.11,-3.81,65
427850,1,0.75,-3.77,58
428050,1,0.4,-3.7,41
428250,0,N/A,N/A,N/A
428450,1,1.3,-3.83,74
428650,1,1.06,-3.79,89
428850,1,0.65,-3.74,68
429050,1,0.28,-3.67,50
429250,0,N/A,N/A,N/A
429450,1,0.92,-1.93,5945
429650,1,0.62,-0.91,6280
429850,1,0.55,-2.03,89
430050,1,0.44,-1.27,5125
430250,0,N/A,N/A,N/A
430450,0,N/A,N/A,N/A
430650,0,N/A,N/A,N/A
430850,1,0.74,0.01,3977
431050,1,1,-2.55,41
431250,1,0.74,-2.18,7970
431450,1,0.56,-2.46,106
431650,1,0.31,-1.88,21057
431850,1,0.17,-1.4,12404
432050,0,N/A,N/A,N/A
432250,0,N/A,N/A,N/A
432450,0,N/A,N/A,N/A
432650,0,N/A,N/A,N/A
432850,1,0.76,0.24,38281
433050,0,N/A,N/A,N/A
433250,0,N/A,N/A,N/A
433450,1,0.77,0.01,2420
433650,1,0.79,0.01,7825
433850,1,0.77,-0.8,58
434050,1,0.58,-1.82,41
434250,1,0.32,-2.4,53
434450,0,N/A,N/A,N/A
434650,1,1.3,-3.83,61
434850,1,0.93,-3.79,50
435050,1,0.37,-3.77,50
435250,1,1.5,-3.84,41
435450,0,N/A,N/A,N/A
435650,1,1.5,-3.84,58
435850,1,1.12,-3.8,68
436050,1,0.62,-3.78,41
436250,0,N/A,N/A,N/A
436450,1,1.04,-1.93,905
436650,1,0.89,-2.9,41
436850,1,0.57,-2.12,6452
437050,0,N/A,N/A,N/A
437250,0,N/A,N/A,N/A
437450,1,0.73,-0.17,53689
437650,0,N/A,N/A,N/A
437850,0,N/A,N/A,N/A
438050,0,N/A,N/A,N/A
438250,0,N/A,N/A,N/A
438450,0,N/A,N/A,N/A
438650,0,N/A,N/A,N/A
438850,1,0.52,0,35498
439050,1,0.68,-1.3,45
439250,1,0.58,-0.7,28772
439450,1,0.53,-0.43,4880
439650,1,0.51,-0.28,10256
439850,1,0.5,-0.18,9620
440050,1,0.49,-0.12,7808
440250,1,1.49,-3.84,45
440450,1,1.12,-3.81,50
440650,1,0.56,-3.79,40
440850,1,0.34,-3.68,45
441050,0,N/A,N/A,N/A
441250,1,1.31,-3.83,74
441450,1,0.96,-3.79,50
441650,1,0.48,-3.73,74
441850,0,N/A,N/A,N/A
442050,1,0.97,-1.93,22777
442250,1,0.66,-0.92,5525
442450,1,0.57,-0.54,16433
442650,1,0.53,-0.34,11050
442850,1,0.52,-0.22,19850
443050,1,0.56,-0.12,4105
443250,1,0.56,-0.09,3385
443450,1,1.31,-3.83,72
443650,1,0.93,-3.79,89
443850,1,0.57,-3.74,52
692850,1,0.59,0,29641
693050,1,0.62,0.01,12973
693250,1,0.65,0.01,12077
693450,1,0.67,0.02,1768
693650,1,0.69,0.02,970
693850,1,0.7,0.02,761
694050,1,1.6,-3.81,106
694250,1,1.33,-3.74,137
694450,1,2.19,-3.69,121
694650,1,1.6,-3.76,117
694850,1,1.31,-3.73,104
695050,1,0.73,-3.7,61
695250,1,0.57,-3.58,153
695450,1,0.28,-3.51,145
695650,1,1.52,-3.84,41
695850,1,1,-2.5,2293
696050,1,0.8,-2.82,173
696250,1,0.76,-3.11,121
696450,1,0.45,-3.14,125
696650,1,0.26,-3.22,52
696850,1,2.21,-3.84,122
697050,1,1.65,-3.83,145
697250,1,1.29,-3.78,45
697450,1,1.07,-3.69,185
697650,1,0.7,-3.64,104
697850,1,0.43,-3.55,153
698050,0,N/A,N/A,N/A
698250,1,1.87,3.31,40
698450,1,1.17,0.99,11041
698650,1,1.05,0.52,22997
698850,1,1.06,0.41,13284
699050,0,N/A,N/A,N/A
699250,0,N/A,N/A,N/A
699450,0,N/A,N/A,N/A
699650,1,0.77,0.24,65033
699850,1,0.78,0.16,24712
700050,1,0.79,0.09,4594
700250,1,0.85,-0.56,2237
700450,1,0.8,-0.37,6280
700650,1,0.66,-0.94,193
700850,1,0.46,-1.44,116
701050,1,0.33,-2.09,116
701250,0,N/A,N/A,N/A
