Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy
389050,1,1.0,-3.78,72.0
389250,1,0.69,-3.73,109.0
389450,1,0.35,-3.68,65.0
389650,1,1.5,-3.84,58.0
389850,1,1.13,-3.81,45.0
390050,1,0.75,-2.98,80.0
390250,1,0.45,-3.22,65.0
390450,1,0.895,0.03,51.0
390650,1,1.34,-3.83,45.0
390850,1,0.94,-3.8,41.0
391050,1,0.58,-3.74,137.0
391250,1,0.3,-3.65,61.0
391450,1,1.51,-3.84,52.0
391650,1,1.13,-3.81,61.0
391850,1,0.67,-3.76,61.0
392050,1,0.41,-3.68,50.0
392250,1,0.755,0.11,87.0
392450,1,1.1,-3.84,72.0
392650,1,1.0,-3.78,97.0
392850,1,0.47,-3.76,45.0
393050,1,0.3,-3.65,41.0
393250,1,1.49,-3.84,61.0
393450,1,1.12,-3.81,72.0
393650,1,1.3050000000000002,0.07,94.0
393850,1,1.49,-3.84,50.0
394050,1,1.11,-3.8,73.0
394250,1,0.85,-3.76,52.0
394450,1,0.52,-3.71,41.0
394650,1,0.925,0.1,58.0
394850,1,1.33,-3.83,41.0
395050,1,0.94,-3.8,65.0
395250,1,0.67,-3.73,41.0
395450,1,0.4,-2.36,10642.0
395650,1,0.23,-2.19,50.0
395850,1,0.02,-1.75,6065.0
396050,1,0.14333333333333334,0.02,71.0
396250,1,0.26666666666666666,0.02,67.0
396450,1,0.39,0.06,97.0
396650,1,0.5133333333333333,0.05,78.0
396850,1,0.6366666666666667,0.07,75.0
397050,1,0.76,0.13,16105.0
397250,1,0.77,0.08,6425.0
397450,1,0.77,0.06,10216.0
397650,1,0.77,0.04,17386.0
397850,1,0.8,0.04,3690.0
398050,1,0.69,-0.52,2405.0
398250,1,0.63,-0.42,754.0
398450,1,1.56,-3.82,82.0
398650,1,1.06,-3.8,50.0
398850,1,0.65,-3.75,65.0
399050,1,0.28,-3.68,45.0
399250,1,0.915,0.04,81.0
399450,1,1.55,-3.81,82.0
399650,1,1.05,-3.8,80.0
399850,1,0.55,-3.74,61.0
400050,1,0.925,0.04,76.0
400250,1,1.3,-3.83,41.0
400450,1,0.86,-3.78,45.0
400650,1,0.48,-3.71,65.0
400850,1,0.03,-3.66,50.0
401050,1,0.42000000000000004,0.02,92.0
401250,1,0.81,0.0,9928.0
401450,1,0.9,-1.31,58.0
401650,1,0.8466666666666667,0.02,79.0
401850,1,0.7933333333333333,0.08,72.0
402050,1,0.74,-0.21,21685.0
