Timestamp(ms),X(m/s^2),Y(m/s^2),Z(m/s^2)
2132023,0.71,0.35,-9.45
2132035,0.71,0.27,-9.45
2132047,0.75,0.31,-9.45
2132059,0.67,0.31,-9.45
2132071,0.71,0.31,-9.49
2132083,0.67,0.31,-9.45
2132095,0.75,0.27,-9.49
2132107,0.75,0.31,-9.45
2132119,0.71,0.31,-9.45
2132131,0.75,0.27,-9.45
2132143,0.71,0.27,-9.45
2132155,0.75,0.31,-9.45
2132167,0.71,0.31,-9.41
2132179,0.75,0.27,-9.41
2132191,0.71,0.35,-9.45
2132203,0.75,0.35,-9.45
2132215,0.75,0.27,-9.45
2132227,0.75,0.35,-9.45
2132239,0.75,0.27,-9.45
2133228,0.75,0.31,-9.45
2133240,0.71,0.31,-9.45
2134228,0.75,0.24,-9.45
2134240,0.78,0.31,-9.49
2135228,0.75,0.27,-9.41
2135240,0.75,0.35,-9.41
2136228,0.71,0.27,-9.49
2136240,0.75,0.27,-9.41
2137228,0.75,0.27,-9.41
20.75,0.35,-9.41,
2138228,0.71,0.35,-9.45
2140967,0.71,0.31,-9.45
2140979,0.75,0.27,-9.49
2140991,0.75,0.27,-9.45
2141003,0.75,0.27,-9.45
2141015,0.71,0.31,-9.45
2141027,0.75,0.31,-9.41
2141039,0.75,0.27,-9.41
2141051,0.75,0.39,-9.41
2141063,0.78,0.31,-9.45
2141075,0.75,0.31,-9.45
2141087,0.75,0.27,-9.45
2141099,0.75,0.27,-9.49
2141111,0.78,0.31,-9.41
2141123,0.75,0.24,-9.45
2141135,0.71,0.31,-9.45
2141147,0.71,0.27,-9.49
2141159,0.78,0.27,-9.45
2141171,0.75,0.31,-9.49
2141183,0.75,0.24,-9.45
2141195,0.71,0.31,-9.45
2141207,0.75,0.27,-9.41
2141219,0.75,0.31,-9.49
2141231,0.75,0.35,-9.41
2141243,0.75,0.31,-9.45
2141255,0.71,0.31,-9.49
2141267,0.75,0.24,-9.45
2141279,0.71,0.35,-9.45
2141291,0.75,0.31,-9.45
2141303,0.75,0.27,-9.45
2141315,0.71,0.31,-9.45
2141327,0.75,0.27,-9.45
2141339,0.71,0.31,-9.45
2141351,0.71,0.31,-9.45
2141363,0.78,0.27,-9.45
2141375,0.78,0.27,-9.45
2141387,0.71,0.31,-9.45
2141399,0.75,0.31,-9.41
2141411,0.71,0.31,-9.45
2141423,0.75,0.27,-9.49
2141435,0.78,0.27,-9.45
2141447,0.75,0.31,-9.41
2141459,0.71,0.27,-9.49
2141471,0.75,0.31,-9.45
2141483,0.71,0.27,-9.45
2141495,0.75,0.27,-9.41
2141507,0.71,0.31,-9.49
2141519,0.71,0.31,-9.45
2141531,0.78,0.27,-9.49
2141543,0.75,0.27,-9.45
2141555,0.75,0.27,-9.49
2141567,0.75,0.35,-9.45
2141579,0.71,0.31,-9.45
2141591,0.71,0.31,-9.41
2141603,0.71,0.27,-9.45
2141615,0.75,0.31,-9.49
2141627,0.75,0.31,-9.41
2141639,0.75,0.31,-9.41
2141651,0.71,0.35,-9.49
2141663,0.71,0.31,-9.45
2141675,0.75,0.27,-9.49
2141687,0.75,0.27,-9.45
2141699,0.71,0.27,-9.45
