[2024-08-14 11:15:09.858] 0.67, 0.31, -9.49
[2024-08-14 11:15:09.858] 0.63, 0.35, -9.45
[2024-08-14 11:15:09.863] 0.67, 0.35, -9.45
[2024-08-14 11:15:09.863] 0.71, 0.35, -9.45
[2024-08-14 11:15:09.863] 0.71, 0.27, -9.34
[2024-08-14 11:15:09.863] 0.75, 0.35, -9.41
[2024-08-14 11:15:09.863] 0.67, 0.35, -9.45
[2024-08-14 11:15:09.863] 0.71, 0.35, -9.45
[2024-08-14 11:15:09.863] 0.71, 0.35, -9.53
[2024-08-14 11:15:09.863] 0.75, 0.35, -9.45
[2024-08-14 11:15:09.863] 0.71, 0.35, -9.41
[2024-08-14 11:15:09.863] 0.71, 0.35, -9.49
[2024-08-14 11:15:09.863] 0.71, 0.35, -9.45
[2024-08-14 11:15:09.887] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.887] 0.67, 0.35, -9.41
[2024-08-14 11:15:09.887] 0.71, 0.31, -9.41
[2024-08-14 11:15:09.887] 0.67, 0.27, -9.49
[2024-08-14 11:15:09.887] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.887] 0.67, 0.35, -9.45
[2024-08-14 11:15:09.887] 0.67, 0.27, -9.45
[2024-08-14 11:15:09.887] 0.67, 0.31, -9.45
[2024-08-14 11:15:09.887] 0.67, 0.39, -9.45
[2024-08-14 11:15:09.887] 0.67, 0.35, -9.41
[2024-08-14 11:15:09.889] 0.71, 0.35, -9.38
[2024-08-14 11:15:09.896] 0.71, 0.35, -9.41
[2024-08-14 11:15:09.896] 0.71, 0.35, -9.45
[2024-08-14 11:15:09.897] 0.71, 0.35, -9.41
[2024-08-14 11:15:09.897] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.897] 0.75, 0.31, -9.45
[2024-08-14 11:15:09.897] 0.75, 0.31, -9.53
[2024-08-14 11:15:09.897] 0.67, 0.35, -9.49
[2024-08-14 11:15:09.897] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.897] 0.71, 0.35, -9.41
[2024-08-14 11:15:09.897] 0.67, 0.35, -9.41
[2024-08-14 11:15:09.897] 0.63, 0.39, -9.45
[2024-08-14 11:15:09.922] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.922] 0.71, 0.35, -9.45
[2024-08-14 11:15:09.922] 0.67, 0.31, -9.41
[2024-08-14 11:15:09.922] 0.67, 0.31, -9.41
[2024-08-14 11:15:09.922] 0.71, 0.27, -9.45
[2024-08-14 11:15:09.922] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.922] 0.71, 0.39, -9.41
[2024-08-14 11:15:09.922] 0.71, 0.31, -9.41
[2024-08-14 11:15:09.922] 0.71, 0.35, -9.45
[2024-08-14 11:15:09.922] 0.71, 0.35, -9.45
[2024-08-14 11:15:09.922] 0.67, 0.35, -9.45
[2024-08-14 11:15:09.926] 0.67, 0.39, -9.41
[2024-08-14 11:15:09.926] 0.71, 0.31, -9.45
[2024-08-14 11:15:09.926] 0.71, 0.35, -9.41
[2024-08-14 11:15:09.926] 0.67, 0.39, -9.45
[2024-08-14 11:15:09.926] 0.67, 0.35, -9.49
[2024-08-14 11:15:09.926] 0.63, 0.39, -9.49
[2024-08-14 11:15:09.926] 0.71, 0.35, -9.53
[2024-08-14 11:15:09.926] 0.71, 0.31, -9.49
[2024-08-14 11:15:09.926] 0.67, 0.35, -9.45
[2024-08-14 11:15:09.927] 0.67, 0.31, -9.45
[2024-08-14 11:15:09.927] 0.67, 0.31, -9.41
[2024-08-14 11:15:09.955] 0.67, 0.31, -9.41
[2024-08-14 11:15:09.955] 0.71, 0.39, -9.45
