Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2)
1080206,0.24,0.00,-9.65
1080218,0.16,0.00,-9.49
1080230,0.16,0.00,-9.53
1080242,0.20,0.00,-9.53
1080254,0.16,0.04,-9.53
1080266,0.24,0.00,-9.49
1080278,0.20,0.04,-9.53
1080290,0.20,0.00,-9.53
1080302,0.16,0.00,-9.57
1080314,0.20,0.00,-9.57
1080326,0.20,0.00,-9.57
1080338,0.20,0.00,-9.53
1080350,0.24,0.00,-9.57
1080362,0.16,0.00,-9.57
1080374,0.20,0.04,-9.49
1080386,0.20,0.00,-9.49
1080398,0.20,0.00,-9.53
1080410,0.24,0.00,-9.49
1080422,0.20,0.00,-9.49
1080434,0.16,0.00,-9.61
1080446,0.20,0.00,-9.57
1080458,0.20,0.00,-9.57
1080470,0.20,0.00,-9.53
1080482,0.20,0.00,-9.53
1080494,0.20,0.00,-9.53
1080506,0.20,0.00,-9.53
1080518,0.20,0.00,-9.53
1080530,0.16,0.00,-9.57
1080542,0.20,0.00,-9.53
1080554,0.20,0.00,-9.49
1080566,0.20,-0.04,-9.49
1080578,0.12,0.00,-9.53
1080590,0.16,0.00,-9.53
1080602,0.16,0.00,-9.49
1080614,0.20,-0.04,-9.49
1080626,0.20,0.00,-9.57
1080638,0.16,0.00,-9.57
1080650,0.20,0.00,-9.57
1080662,0.20,0.00,-9.57
1080674,0.20,0.00,-9.53
1080686,0.20,0.00,-9.49
1080698,0.20,0.00,-9.53
1080710,0.20,0.00,-9.53
1080722,0.16,0.00,-9.53
1080734,0.16,0.00,-9.57
1080746,0.20,0.00,-9.57
1080758,0.20,0.00,-9.57
1080770,0.20,0.00,-9.57
1080782,0.16,0.00,-9.53
1080794,0.16,0.00,-9.53
1080806,0.16,0.00,-9.53
1080818,0.20,0.00,-9.49
1080830,0.20,-0.04,-9.53
1080842,0.16,0.00,-9.49
1080854,0.20,-0.04,-9.61
1080866,0.20,-0.04,-9.53
1080878,0.20,0.00,-9.53
1080890,0.16,0.00,-9.57
1080902,0.24,0.04,-9.53
1080914,0.20,0.00,-9.53
1080926,0.20,0.00,-9.53
1080938,0.20,0.00,-9.53
1080950,0.24,0.00,-9.49
1080962,0.16,0.04,-9.49
1080974,0.16,0.00,-9.53
1080986,0.16,0.00,-9.57
1080998,0.20,0.00,-9.53
1081010,0.20,-0.04,-9.53
1081022,0.20,0.00,-9.49
1081034,0.24,0.00,-9.53
1081046,0.20,0.00,-9.53
1081058,0.20,0.00,-9.53
1081070,0.20,-0.04,-9.61
1081082,0.20,0.00,-9.53
1081094,0.16,0.00,-9.53
1081106,0.20,-0.04,-9.49
1081118,0.20,0.00,-9.45
1081130,0.16,0.00,-9.53
1081142,0.16,0.00,-9.53
1081154,0.35,0.16,-10.00
1081166,0.35,-0.39,-10.12
1081178,0.24,0.16,-9.92
1081190,0.24,-0.04,-9.30
1081202,0.16,0.00,-9.85
1081214,0.20,-0.08,-9.89
1081226,0.16,0.04,-9.41
1081238,0.27,-0.08,-9.85
1081250,0.12,0.04,-9.34
1081262,0.24,-0.08,-9.65
1081274,0.24,-0.08,-9.53
1081286,0.12,0.00,-9.57
1081298,0.24,-0.04,-9.53
1081310,0.20,0.00,-9.61
1081322,0.24,0.00,-9.53
1081334,0.20,0.00,-9.49
1081346,0.16,0.00,-9.57
1081358,0.20,-0.04,-9.57
1081370,0.20,0.00,-9.57
1081382,0.20,0.00,-9.57
1081394,0.20,0.00,-9.57
1081406,0.16,0.00,-9.53
1081418,0.24,0.00,-9.53
1081430,0.20,-0.04,-9.53
1081442,0.20,0.00,-9.53
1081454,0.20,0.00,-9.57
1081466,0.20,-0.04,-9.57
1081478,0.20,0.00,-9.57
1081490,0.24,0.00,-9.53
1081502,0.16,0.00,-9.53
1081514,0.20,0.04,-9.49
1081526,0.20,0.00,-9.57
1081538,0.24,0.00,-9.53
1081550,0.20,0.00,-9.57
1081562,0.20,0.00,-9.53
1081574,0.24,0.00,-9.53
1081586,0.24,0.04,-9.53
1081598,0.16,0.00,-9.49
1081610,0.20,0.00,-9.53
1081622,0.20,0.00,-9.57
1081634,0.20,0.00,-9.53
1081646,0.24,0.00,-9.53
1081658,0.20,0.00,-9.53
1081670,0.20,0.00,-9.57
1081682,0.20,0.00,-9.57
1081694,0.20,0.00,-9.53
1081706,0.20,0.00,-9.53
1081718,0.16,0.00,-9.49
1081730,0.20,0.00,-9.49
1081742,0.12,0.00,-9.53
1081754,0.16,0.00,-9.49
1081766,0.20,0.00,-9.57
1081778,0.16,0.00,-9.61
1081790,0.20,0.00,-9.49
1081802,0.20,0.00,-9.57
1081814,0.27,0.00,-9.57
1081826,0.24,0.00,-9.53
1081838,0.20,0.00,-9.57
1081850,0.20,0.00,-9.57
1081862,0.20,0.00,-9.57
1081874,0.16,0.00,-9.49
1081886,0.27,-0.27,-10.16
1081898,0.31,-0.24,-9.57
1081910,0.20,0.04,-9.96
1081922,0.20,-0.04,-9.26
1081934,0.20,-0.04,-9.85
1081946,0.20,0.08,-9.81
1081958,0.16,0.08,-9.41
1081970,0.24,-0.08,-9.69
1081982,0.12,0.08,-9.38
1081994,0.27,-0.08,-9.53
1082006,0.16,0.04,-9.57
1082018,0.16,0.04,-9.61
1082030,0.16,0.00,-9.45
1082042,0.16,0.04,-9.57
1082054,0.24,0.00,-9.53
1082066,0.20,0.00,-9.61
1082078,0.20,0.00,-9.53
1082090,0.20,0.00,-9.49
1082102,0.20,0.00,-9.53
1082114,0.24,0.00,-9.61
1082126,0.24,-0.04,-9.53
1082138,0.20,-0.04,-9.49
1082150,0.16,0.00,-9.57
1082162,0.16,0.00,-9.53
1082174,0.20,0.00,-9.49
1082186,0.20,0.00,-9.49
1082198,0.24,0.00,-9.53
1082210,0.20,0.00,-9.57
1082222,0.16,0.00,-9.57
1082234,0.20,0.00,-9.53
1082246,0.16,0.00,-9.57
1082258,0.20,0.00,-9.53
1082270,0.20,0.00,-9.53
1082282,0.20,0.00,-9.53
1082294,0.20,0.00,-9.61
1082306,0.16,0.00,-9.53
1082318,0.20,0.00,-9.57
1082330,0.20,-0.04,-9.49
1082342,0.20,0.00,-9.49
1082354,0.24,0.00,-9.53
1082366,0.20,0.00,-9.53
1082378,0.20,0.00,-9.49
1082390,0.16,0.00,-9.53
1082402,0.16,0.00,-9.57
1082414,0.20,0.00,-9.53
1082426,0.16,0.00,-9.57
1082438,0.20,0.00,-9.53
1082450,0.20,0.00,-9.61
1082462,0.16,0.00,-9.53
1082474,0.20,0.00,-9.45
1082486,0.20,0.04,-9.45
1082498,0.24,0.00,-9.53
1082510,0.16,-0.04,-9.53
1082522,0.20,0.00,-9.57
1082534,0.20,0.00,-9.49
1082546,0.20,0.00,-9.57
1082558,0.20,0.04,-9.53
1082570,0.20,0.00,-9.49
1082582,0.16,0.00,-9.57
1082594,0.20,-0.04,-9.57
1082606,0.20,0.00,-9.61
1082618,0.20,0.00,-9.49
1082630,0.20,-0.04,-9.53
1082642,0.16,0.00,-9.57
1082654,0.12,0.00,-9.53
1082666,0.16,0.00,-9.57
1082678,0.20,0.00,-9.49
1082690,0.20,0.00,-9.53
1082702,0.20,-0.04,-9.61
1082714,0.20,0.00,-9.53
1082726,0.12,0.47,-6.79
1082738,-0.04,0.24,-8.28
1082750,-0.08,-0.31,-9.30
1082762,-0.08,0.27,-7.92
1082774,0.16,-0.27,-9.81
1082786,0.20,0.12,-9.10
1082798,0.24,-0.16,-9.65
1082810,0.16,0.12,-9.45
1082822,0.20,0.04,-9.53
1082834,0.20,0.00,-9.30
1082846,0.24,-0.04,-9.69
1082858,0.27,0.00,-9.34
1082870,0.16,-0.04,-9.41
1082882,0.20,-0.04,-9.65
1082894,0.20,0.00,-9.49
1082906,0.20,-0.04,-9.57
1082918,0.16,0.00,-9.57
1082930,0.24,-0.04,-9.49
1082942,0.16,-0.04,-9.49
1082954,0.20,0.00,-9.53
1082966,0.20,0.00,-9.57
1082978,0.16,0.00,-9.53
1082990,0.20,0.00,-9.57
1083002,0.20,0.00,-9.53
1083014,0.24,0.00,-9.57
1083026,0.20,0.00,-9.49
1083038,0.20,0.00,-9.57
1083050,0.24,0.00,-9.57
1083062,0.20,0.00,-9.49
1083074,0.20,0.00,-9.57
1083086,0.24,0.00,-9.53
1083098,0.16,0.04,-9.53
1083110,0.20,0.00,-9.53
1083122,0.24,0.00,-9.49
1083134,0.20,0.00,-9.53
1083146,0.20,0.00,-9.57
1083158,0.16,0.00,-9.57
1083170,0.20,0.00,-9.57
1083182,0.24,0.00,-9.49
1083194,0.16,0.00,-9.53
1083206,0.20,0.00,-9.53
1083218,0.20,0.00,-9.53
1083230,0.20,0.00,-9.57
1083242,0.24,0.00,-9.53
1083254,0.24,0.00,-9.57
1083266,0.24,0.00,-9.53
1083278,0.16,0.00,-9.53
1083290,0.20,0.00,-9.53
1083302,0.24,0.04,-9.53
1083314,0.20,0.00,-9.49
1083326,0.16,-0.04,-9.53
1083338,0.20,0.00,-9.53
1083350,0.20,0.00,-9.57
1083362,0.20,0.00,-9.53
1083374,0.20,0.00,-9.49
1083386,0.12,-0.12,-9.06
1083398,0.20,0.00,-9.89
1083410,0.20,-0.12,-9.41
1083422,0.24,0.00,-9.34
1083434,0.20,-0.04,-9.73
1083446,0.20,0.00,-9.41
1083458,0.20,-0.04,-9.69
1083470,0.20,0.04,-9.53
1083482,0.24,-0.04,-9.61
1083494,0.20,-0.04,-9.53
1083506,0.20,0.04,-9.57
1083518,0.20,-0.04,-9.49
1083530,0.16,0.00,-9.57
1083542,0.20,0.04,-9.45
1083554,0.16,0.00,-9.49
1083566,0.24,0.00,-9.53
1083578,0.20,0.04,-9.53
1083590,0.20,0.00,-9.53
1083602,0.20,-0.04,-9.53
1083614,0.20,0.00,-9.61
1083626,0.16,0.00,-9.57
1083638,0.20,0.00,-9.53
1083650,0.20,0.00,-9.53
1083662,0.20,0.00,-9.53
1083674,0.20,0.00,-9.53
1083686,0.16,0.04,-9.57
1083698,0.16,0.00,-9.53
1083710,0.20,0.00,-9.53
1083722,0.20,0.00,-9.61
1083734,0.20,0.00,-9.53
1083746,0.20,0.00,-9.53
1083758,0.16,0.00,-9.53
1083770,0.20,0.00,-9.57
1083782,0.20,-0.04,-9.61
1083794,0.20,0.04,-9.53
1083806,0.20,0.00,-9.53
1083818,0.20,0.00,-9.53
1083830,0.24,-0.04,-9.49
1083842,0.20,0.00,-9.57
1083854,0.20,0.00,-9.57
1083866,0.20,-0.04,-9.57
1083878,0.16,0.00,-9.53
1083890,0.20,0.00,-9.57
1083902,0.24,0.00,-9.49
1083914,0.16,-0.04,-9.53
1083926,0.16,0.00,-9.53
1083938,0.16,0.00,-9.53
1083950,0.16,0.00,-9.53
1083962,0.16,0.00,-9.53
1083974,0.20,0.00,-9.53
1083986,0.20,0.00,-9.53
1083998,0.20,0.00,-9.49
1084010,0.24,-0.04,-9.49
1084022,0.16,0.00,-9.57
1084034,0.20,0.00,-9.61
1084046,0.16,0.00,-9.49
1084058,0.20,0.00,-9.53
1084070,0.16,-0.04,-9.57
1084082,0.24,-0.04,-9.57
1084094,0.20,0.00,-9.53
1084106,0.16,-0.04,-9.57
1084118,0.16,0.00,-9.57
1084130,0.16,0.00,-9.53
1084142,0.20,0.00,-9.53
1084154,0.20,-0.04,-9.57
1084166,0.24,0.00,-9.53
1084178,0.20,-0.04,-9.53
1084190,0.20,0.00,-9.57
1084202,0.20,0.00,-9.49
1084214,0.20,0.00,-9.53
1084226,0.20,-0.04,-9.61
1084238,0.16,0.00,-9.57
1084250,0.16,0.00,-9.53
1084262,0.08,0.00,-7.81
1084274,0.04,0.08,-9.69
1084286,-0.04,-0.04,-10.20
1084298,0.16,0.12,-8.59
1084310,0.31,-0.16,-10.12
1084322,0.20,0.20,-9.10
1084334,0.24,-0.20,-9.85
1084346,0.20,0.12,-9.65
1084358,0.16,0.04,-9.45
1084370,0.27,-0.12,-9.49
1084382,0.16,0.04,-9.65
1084394,0.20,-0.04,-9.41
1084406,0.16,0.00,-9.38
1084418,0.20,0.00,-9.61
1084430,0.20,0.00,-9.45
1084442,0.16,-0.04,-9.61
1084454,0.24,-0.04,-9.53
1084466,0.24,-0.04,-9.49
1084478,0.20,-0.04,-9.53
1084490,0.16,0.00,-9.57
1084502,0.16,0.00,-9.49
1084514,0.20,0.00,-9.53
1084526,0.20,0.04,-9.57
1084538,0.16,0.00,-9.57
1084550,0.16,0.00,-9.53
1084562,0.20,0.00,-9.57
1084574,0.16,-0.04,-9.53
1084586,0.16,0.00,-9.53
1084598,0.20,0.00,-9.53
1084610,0.20,0.00,-9.49
1084622,0.20,0.00,-9.57
1084634,0.20,0.00,-9.49
1084646,0.24,0.00,-9.57
1084658,0.20,0.04,-9.57
1084670,0.20,0.00,-9.57
1084682,0.24,0.00,-9.53
1084694,0.16,0.00,-9.53
1084706,0.24,0.00,-9.57
1084718,0.20,0.00,-9.57
1084730,0.20,0.04,-9.49
1084742,0.20,-0.04,-9.53
1084754,0.20,0.00,-9.57
1084766,0.16,0.04,-9.49
1084778,0.24,0.00,-9.57
1084790,0.16,0.00,-9.57
1084802,0.24,0.00,-9.53
1084814,0.20,0.00,-9.53
1084826,0.16,0.00,-9.53
1084838,0.20,0.00,-9.49
1084850,0.20,-0.04,-9.53
1084862,0.24,0.00,-9.53
1084874,0.20,0.00,-9.53
1084886,0.16,0.00,-9.53
1084898,0.20,0.04,-9.53
1084910,0.20,-0.04,-9.61
1084922,0.20,0.04,-9.57
1084934,0.24,-0.04,-9.53
1084946,0.20,0.00,-9.57
1084958,0.20,0.00,-9.53
1084970,0.20,0.00,-9.57
1084982,0.20,0.00,-9.49
1084994,0.20,0.00,-9.49
1085006,0.24,0.00,-9.49
1085018,0.24,0.00,-9.45
