Distance(m)_mean,Distance(m)_std,Distance(m)_max,Distance(m)_min,Distance(m)_range,Distance(m)_skew,Distance(m)_kurtosis,Speed(m/s)_mean,Speed(m/s)_std,Speed(m/s)_max,Speed(m/s)_min,Speed(m/s)_range,Speed(m/s)_skew,Speed(m/s)_kurtosis,Energy_mean,Energy_std,Energy_max,Energy_min,Energy_range,Energy_skew,Energy_kurtosis,Distance(m)_power_mean,Distance(m)_power_std,Distance(m)_power_max,Distance(m)_power_min,Distance(m)_dominant_freq,Speed(m/s)_power_mean,Speed(m/s)_power_std,Speed(m/s)_power_max,Speed(m/s)_power_min,Speed(m/s)_dominant_freq,Energy_power_mean,Energy_power_std,Energy_power_max,Energy_power_min,Energy_dominant_freq,Label
1.0175,0.44621423426101375,1.49,0.3,1.19,-0.5162381794701897,-1.0938077776749977,-3.29875,1.3625547171188601,0.07,-3.84,3.9099999999999997,2.258754192666078,3.119693983851919,61.0,17.776388834631177,94,41,53,0.6753344447746251,-0.5997501708582806,17.910600000000002,27.936042672146677,66.2596,0.7048000000000001,0,185.36479999999997,295.06652115211244,696.4321,13.401235297517353,0,61327.5,102096.17542175612,238144.0,1114.0,0,No Fall
0.62875,0.42575772788892846,1.33,0.02,1.31,0.19298293103937658,-0.8938153688883115,-2.65875,1.3975737905384458,0.1,-3.83,3.93,0.9170695546401353,-0.22783320952984587,48.75,8.827716093564145,65,41,24,0.8070252893843076,-0.6322187785909379,7.566500000000001,10.40490556228167,25.300900000000002,0.024332903458631778,0,122.7854,190.31142109119463,452.4129,12.120744863986381,0,38328.5,65686.80731889776,152100.0,90.0,0,No Fall
0.53125,0.24491616641501754,0.77,0.14,0.63,-0.41660601885553583,-1.2818338039045347,0.06125,0.03522884370187913,0.13,0.02,0.11,0.6650954348710367,-0.002728637234097775,67.0,17.229542734998596,97,45,52,0.30545856865954024,-0.7827462365252735,4.9184,7.601972909054596,18.0625,0.13641457505076202,0,0.06860000000000001,0.09939320902355454,0.24010000000000004,0.0041,0,73702.0,123348.18089457176,287296.0,52.00000000000001,0,No Fall
0.8049999999999999,0.37412755655181107,1.56,0.28,1.28,0.8504060877064362,0.39011648277445765,-1.9887499999999998,1.906615831406901,0.04,-3.82,3.86,0.029637489964672924,-1.9572136499615433,52.75,14.399900793309058,82,40,42,1.1327379124023855,0.06434172116245929,11.24695,17.463548055807557,41.47359999999999,0.12919931546786245,0,88.7238,100.3281177839493,253.12810000000002,0.3557000000000003,0,45428.0,76589.8355919374,178084.0,865.3095244168787,0,No Fall
0.9537500000000001,0.3552036639128922,1.55,0.48,1.07,0.2771602298443315,-0.7654343841804061,-2.8237500000000004,1.7679603865956468,0.04,-3.83,3.87,1.153078128443037,-0.6679318441060307,66.375,16.33521612083188,82,41,41,-0.5570409377344704,-1.2285112927887936,15.435299999999996,24.734865026921003,58.216899999999995,0.017515815407715803,0,142.2558,213.84256481923796,510.30809999999997,0.0014171572875253903,0,72222.0,121104.92835966668,281961.0,797.3953851928952,0,No Fall
0.6575,0.29217167164919616,0.9,0.03,0.87,-1.4230868990838839,0.6736658861830436,-0.62,1.3146319419735482,0.1,-3.66,3.7600000000000002,-1.8064955816164625,1.7366035025292925,68.0,16.65618718160226,92,48,44,0.18144437103466443,-1.4447303415952424,7.49445,11.65557209910779,27.667599999999997,0.22759872374929624,0,17.30975,6.8044321098457585,24.6016,8.115819295425892,0,75278.0,127404.67094263068,295936.0,301.8655146654839,0,Fall
0.7312500000000001,0.1506592655156472,1.03,0.59,0.44000000000000006,1.0972374904312514,-0.11480644298004883,0.037500000000000006,0.02314550249431379,0.07,0.01,0.060000000000000005,0.4711178196587342,-1.2810666666666666,69.125,16.608410089899806,100,48,52,0.5027373994972395,-0.41026728285089087,8.706699999999998,14.732407957968038,34.2225,0.0291194375066119,0,0.026050000000000004,0.03698807240178922,0.09000000000000002,0.0018000000000000002,0,78130.0,131452.18573686783,305809.0,1165.0,0,Fall
0.8812500000000001,0.4668874902708666,1.6,0.17,1.4300000000000002,0.05562812522359074,-0.9396009174400732,-2.0575,1.528974913369832,0.1,-3.84,3.94,0.33947865263414656,-1.1330095137280962,73.375,19.353386562267893,93,44,49,-0.5678513133375197,-1.4445228393527114,13.9164,20.726107076100906,49.7025,0.6410741007430862,0,75.6512,113.29264734227019,270.9316,1.3312000000000013,0,88698.0,147731.48951053055,344569.0,1624.9999999999998,0,No Fall
0.8525,0.4176037082484507,1.5,0.26,1.24,0.012523994642982959,-1.062137722061381,-3.7437500000000004,0.07707834604200729,-3.62,-3.84,0.21999999999999975,0.29724567414350755,-1.1838722608122203,54.25,15.92616894117531,82,40,42,0.715304321986006,-0.9582239755246817,12.6376,19.611562839814685,46.51240000000001,0.12263044737829956,0,224.2856,388.39328464857624,897.0024999999999,0.0010725830020304687,0,48600.0,80697.9596520259,188356.0,100.0,0,No Fall
1.1600000000000001,0.5366563145999496,2.04,0.34,1.7,0.08795246239819261,-0.7203044690098261,-3.31,1.3507881297333684,0.03,-3.84,3.8699999999999997,2.259651458577127,3.1220587444274503,65.375,21.8039151137064,100,40,60,0.26302610206454047,-1.2003188039781856,23.321150000000006,36.30399645214698,86.11840000000002,0.5811506858075824,0,186.1492,297.36070367874777,701.1904000000001,13.690399999999999,0,71619.0,116595.37896503446,273529.0,652.8369439657383,0,No Fall
