Timestamp(ms),knull,X(m/s^2),Y(m/s^2),Z(m/s^2)
[2024-08-14 10:14:52.465] 102743, 0.67, 0.43, -9.49
[2024-08-14 10:14:52.482] 102755, 0.71, 0.35, -9.45
[2024-08-14 10:14:52.482] 102767, 0.71, 0.35, -9.41
[2024-08-14 10:14:52.482] 102779, 0.63, 0.35, -9.49
[2024-08-14 10:14:52.482] 102791, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.482] 102803, 0.63, 0.35, -9.45
[2024-08-14 10:14:52.482] 102815, 0.63, 0.39, -9.45
[2024-08-14 10:14:52.482] 102827, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.482] 102839, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.482] 102851, 0.67, 0.35, -9.41
[2024-08-14 10:14:52.482] 102863, 0.71, 0.35, -9.41
[2024-08-14 10:14:52.482] 102875, 0.67, 0.35, -9.49
[2024-08-14 10:14:52.489] 102887, 0.67, 0.43, -9.45
[2024-08-14 10:14:52.489] 102899, 0.67, 0.35, -9.49
[2024-08-14 10:14:52.489] 102911, 0.67, 0.35, -9.49
[2024-08-14 10:14:52.489] 102923, 0.71, 0.35, -9.41
[2024-08-14 10:14:52.489] 102935, 0.63, 0.39, -9.45
[2024-08-14 10:14:52.489] 102947, 0.63, 0.31, -9.41
[2024-08-14 10:14:52.489] 102959, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.489] 102971, 0.67, 0.43, -9.45
[2024-08-14 10:14:52.512] 102983, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.512] 102995, 0.63, 0.39, -9.45
[2024-08-14 10:14:52.512] 103007, 0.67, 0.39, -9.49
[2024-08-14 10:14:52.512] 103019, 0.63, 0.31, -9.49
[2024-08-14 10:14:52.512] 103031, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.512] 103043, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.512] 103055, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.512] 103067, 0.63, 0.35, -9.45
[2024-08-14 10:14:52.512] 103079, 0.67, 0.39, -9.41
[2024-08-14 10:14:52.512] 103091, 0.67, 0.35, -9.49
[2024-08-14 10:14:52.512] 103103, 0.67, 0.35, -9.41
[2024-08-14 10:14:52.520] 103115, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.520] 103127, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.520] 103139, 0.67, 0.39, -9.45
[2024-08-14 10:14:52.520] 103151, 0.63, 0.35, -9.49
[2024-08-14 10:14:52.520] 103163, 0.67, 0.39, -9.49
[2024-08-14 10:14:52.520] 103175, 0.67, 0.35, -9.45
[2024-08-14 10:14:52.520] 103187, 0.67, 0.35, -9.41
[2024-08-14 10:14:52.544] 103199, 0.67, 0.39, -9.41
[2024-08-14 10:14:52.544] 103211, 0.67, 0.31, -9.45
[2024-08-14 10:14:52.544] 103223, 0.67, 0.39, -9.41
[2024-08-14 10:14:52.544] 103235, 0.67, 0.35, -9.41
