Timestamp(ms),X(m/s^2),Y(m/s^2),Z(m/s^2)
2024-08-14 11:01:15.565,0.67,0.43,-9.45
2024-08-14 11:01:15.565,0.67,0.43,-9.41
2024-08-14 11:01:15.575,0.67,0.51,-9.41
2024-08-14 11:01:15.575,0.71,0.43,-9.45
2024-08-14 11:01:15.575,0.67,0.43,-9.45
2024-08-14 11:01:15.575,0.59,0.43,-9.41
2024-08-14 11:01:15.575,0.67,0.47,-9.41
2024-08-14 11:01:15.575,0.67,0.47,-9.41
2024-08-14 11:01:15.575,0.63,0.43,-9.45
2024-08-14 11:01:15.575,0.67,0.47,-9.49
2024-08-14 11:01:15.575,0.67,0.39,-9.45
2024-08-14 11:01:15.575,0.63,0.43,-9.41
2024-08-14 11:01:15.575,0.67,0.39,-9.45
2024-08-14 11:01:15.582,0.67,0.43,-9.45
2024-08-14 11:01:15.582,0.67,0.43,-9.41
2024-08-14 11:01:15.582,0.67,0.39,-9.45
2024-08-14 11:01:15.582,0.67,0.43,-9.38
2024-08-14 11:01:15.582,0.67,0.47,-9.38
2024-08-14 11:01:15.582,0.67,0.39,-9.45
2024-08-14 11:01:15.582,0.63,0.39,-9.41
2024-08-14 11:01:15.582,0.63,0.43,-9.45
2024-08-14 11:01:15.582,0.67,0.43,-9.45
2024-08-14 11:01:15.582,0.67,0.47,-9.41
2024-08-14 11:01:15.582,0.63,0.43,-9.45
2024-08-14 11:01:15.595,0.63,0.47,-9.45
2024-08-14 11:01:15.595,0.71,0.43,-9.41
2024-08-14 11:01:15.595,0.67,0.39,-9.41
2024-08-14 11:01:15.595,0.67,0.43,-9.45
2024-08-14 11:01:15.595,0.67,0.47,-9.45
2024-08-14 11:01:15.595,0.71,0.39,-9.41
2024-08-14 11:01:15.595,0.67,0.43,-9.45
2024-08-14 11:01:15.595,0.67,0.51,-9.38
2024-08-14 11:01:15.595,0.71,0.47,-9.45
2024-08-14 11:01:15.595,0.67,0.43,-9.41
2024-08-14 11:01:15.595,0.67,0.39,-9.45
2024-08-14 11:01:15.598,0.67,0.43,-9.45
2024-08-14 11:01:15.598,0.63,0.39,-9.45
2024-08-14 11:01:15.598,0.71,0.47,-9.41
2024-08-14 11:01:15.598,0.75,0.43,-9.49
2024-08-14 11:01:15.598,0.67,0.43,-9.53
2024-08-14 11:01:15.598,0.63,0.43,-9.41
2024-08-14 11:01:15.598,0.67,0.47,-9.41
2024-08-14 11:01:15.598,0.67,0.47,-9.45
2024-08-14 11:01:15.598,0.67,0.39,-9.38
2024-08-14 11:01:15.598,0.63,0.43,-9.38
2024-08-14 11:01:15.598,0.75,0.47,-9.41
2024-08-14 11:01:15.611,0.71,0.43,-9.49
2024-08-14 11:01:15.611,0.67,0.39,-9.45
2024-08-14 11:01:15.611,0.67,0.43,-9.41
2024-08-14 11:01:15.611,0.67,0.39,-9.45
2024-08-14 11:01:15.611,0.67,0.43,-9.45
2024-08-14 11:01:15.611,0.67,0.47,-9.45
2024-08-14 11:01:15.611,0.67,0.43,-9.41
2024-08-14 11:01:15.611,0.59,0.47,-9.45
2024-08-14 11:01:15.611,0.67,0.43,-9.41
2024-08-14 11:01:15.611,0.63,0.43,-9.45
2024-08-14 11:01:15.611,0.63,0.43,-9.41
2024-08-14 11:01:15.612,0.63,0.51,-9.41
2024-08-14 11:01:15.612,0.71,0.47,-9.41
2024-08-14 11:01:15.612,0.67,0.47,-9.45
2024-08-14 11:01:15.612,0.67,0.43,-9.45
2024-08-14 11:01:15.612,0.71,0.47,-9.41
2024-08-14 11:01:15.612,0.67,0.47,-9.41
2024-08-14 11:01:15.612,0.71,0.39,-9.38
2024-08-14 11:01:15.612,0.71,0.43,-9.49
2024-08-14 11:01:15.612,0.75,0.43,-9.49
2024-08-14 11:01:15.612,0.71,0.39,-9.38
2024-08-14 11:01:15.612,0.67,0.47,-9.45
2024-08-14 11:01:15.625,0.67,0.43,-9.45
2024-08-14 11:01:15.625,0.67,0.39,-9.41
2024-08-14 11:01:15.625,0.67,0.43,-9.41
2024-08-14 11:01:15.625,0.71,0.43,-9.41
2024-08-14 11:01:15.625,0.67,0.43,-9.41
2024-08-14 11:01:15.625,0.71,0.39,-9.38
2024-08-14 11:01:15.625,0.67,0.47,-9.49
2024-08-14 11:01:15.625,0.71,0.43,-9.45
2024-08-14 11:01:15.625,0.71,0.43,-9.41
2024-08-14 11:01:15.625,0.67,0.51,-9.45
2024-08-14 11:01:15.625,0.71,0.39,-9.41
2024-08-14 11:01:15.633,0.63,0.47,-9.45
2024-08-14 11:01:15.633,0.67,0.43,-9.45
2024-08-14 11:01:15.633,0.71,0.43,-9.45
2024-08-14 11:01:15.633,0.71,0.43,-9.41
2024-08-14 11:01:15.633,0.71,0.43,-9.45
2024-08-14 11:01:15.634,0.67,0.47,-9.41
2024-08-14 11:01:15.634,0.71,0.39,-9.41
2024-08-14 11:01:15.634,0.67,0.39,-9.45
2024-08-14 11:01:15.634,0.67,0.43,-9.45
2024-08-14 11:01:15.634,0.67,0.47,-9.41
2024-08-14 11:01:15.634,0.63,0.43,-9.41
2024-08-14 11:01:15.654,0.67,0.43,-9.41
2024-08-14 11:01:15.654,0.67,0.43,-9.41
2024-08-14 11:01:15.655,0.67,0.43,-9.45
2024-08-14 11:01:15.655,0.67,0.47,-9.45
2024-08-14 11:01:15.655,0.67,0.47,-9.38
2024-08-14 11:01:15.655,0.67,0.47,-9.49
2024-08-14 11:01:15.655,0.67,0.43,-9.45
2024-08-14 11:01:15.655,0.71,0.39,-9.45
2024-08-14 11:01:15.655,0.67,0.39,-9.45
2024-08-14 11:01:15.655,0.67,0.47,-9.41
2024-08-14 11:01:15.655,0.67,0.47,-9.41
2024-08-14 11:01:15.657,0.71,0.43,-9.38
2024-08-14 11:01:15.657,0.63,0.51,-9.38
2024-08-14 11:01:15.657,0.71,0.43,-9.41
2024-08-14 11:01:15.658,0.67,0.43,-9.45
2024-08-14 11:01:15.658,0.63,0.47,-9.45
2024-08-14 11:01:15.658,0.67,0.39,-9.45
2024-08-14 11:01:15.658,0.71,0.39,-9.41
2024-08-14 11:01:15.658,0.67,0.47,-9.41
2024-08-14 11:01:15.658,0.63,0.43,-9.45
2024-08-14 11:01:15.658,0.67,0.39,-9.45
2024-08-14 11:01:15.658,0.63,0.43,-9.38
2024-08-14 11:01:15.669,0.63,0.43,-9.45
2024-08-14 11:01:15.675,0.71,0.43,-9.45
2024-08-14 11:01:15.675,0.63,0.47,-9.45
2024-08-14 11:01:15.675,0.71,0.43,-9.41
2024-08-14 11:01:15.675,0.67,0.43,-9.41
2024-08-14 11:01:15.675,0.67,0.43,-9.45
2024-08-14 11:01:15.675,0.67,0.39,-9.41
2024-08-14 11:01:15.676,0.63,0.43,-9.38
2024-08-14 11:01:15.676,0.71,0.47,-9.45
2024-08-14 11:01:15.676,0.67,0.43,-9.45
2024-08-14 11:01:15.676,0.67,0.43,-9.45
2024-08-14 11:01:15.676,0.71,0.43,-9.41
2024-08-14 11:01:15.678,0.67,0.39,-9.45
2024-08-14 11:01:15.678,0.71,0.43,-9.49
2024-08-14 11:01:15.678,0.63,0.47,-9.49
2024-08-14 11:01:15.678,0.67,0.43,-9.45
2024-08-14 11:01:15.678,0.67,0.35,-9.41
2024-08-14 11:01:15.678,0.71,0.43,-9.41
2024-08-14 11:01:15.678,0.67,0.47,-9.41
2024-08-14 11:01:15.678,0.67,0.43,-9.38
2024-08-14 11:01:15.701,0.71,0.47,-9.41
2024-08-14 11:01:15.704,0.75,0.39,-9.41
2024-08-14 11:01:15.714,0.63,0.47,-9.41
2024-08-14 11:01:15.739,0.67,0.47,-9.38
2024-08-14 11:01:15.744,0.67,0.39,-9.45
2024-08-14 11:01:15.757,0.67,0.39,-9.41
2024-08-14 11:01:15.777,0.63,0.43,-9.45
2024-08-14 11:01:15.783,0.71,0.39,-9.49
2024-08-14 11:01:15.783,0.67,0.47,-9.45
2024-08-14 11:01:15.792,0.71,0.51,-9.41
2024-08-14 11:01:15.820,0.63,0.43,-9.45
2024-08-14 11:01:15.839,0.71,0.47,-9.49
2024-08-14 11:01:15.839,0.75,0.39,-9.41
2024-08-14 11:01:15.847,0.67,0.43,-9.45
2024-08-14 11:01:15.863,0.67,0.47,-9.41
2024-08-14 11:01:15.872,0.71,0.43,-9.41
2024-08-14 11:01:15.892,0.71,0.43,-9.41
2024-08-14 11:01:15.896,0.67,0.39,-9.45
2024-08-14 11:01:15.905,0.63,0.43,-9.41
2024-08-14 11:01:15.916,0.67,0.43,-9.41
2024-08-14 11:01:15.940,0.67,0.47,-9.49
2024-08-14 11:01:15.945,0.67,0.47,-9.45
2024-08-14 11:01:15.945,0.67,0.43,-9.41
2024-08-14 11:01:15.981,0.67,0.39,-9.45
2024-08-14 11:01:15.990,0.63,0.43,-9.41
2024-08-14 11:01:16.017,0.71,0.39,-9.41
2024-08-14 11:01:16.039,0.67,0.47,-9.41
2024-08-14 11:01:16.050,0.63,0.43,-9.45
2024-08-14 11:01:16.077,0.67,0.47,-9.41
2024-08-14 11:01:16.095,0.67,0.47,-9.41
2024-08-14 11:01:16.095,0.67,0.47,-9.41
2024-08-14 11:01:16.128,0.63,0.47,-9.45
2024-08-14 11:01:16.128,0.63,0.47,-9.41
