Timestamp(ms),X(m/s^2),Y(m/s^2),Z(m/s^2)
2024-08-14 11:01:47.968,0.67,0.47,-9.45
2024-08-14 11:01:47.989,0.67,0.47,-9.49
2024-08-14 11:01:47.998,0.67,0.43,-9.45
2024-08-14 11:01:48.008,0.67,0.43,-9.38
2024-08-14 11:01:48.043,0.71,0.43,-9.49
2024-08-14 11:01:48.068,0.67,0.43,-9.41
2024-08-14 11:01:48.068,0.67,0.43,-9.41
2024-08-14 11:01:48.068,0.71,0.47,-9.45
2024-08-14 11:01:48.097,0.75,0.39,-9.41
2024-08-14 11:01:48.097,0.67,0.43,-9.45
2024-08-14 11:01:48.097,0.67,0.43,-9.45
2024-08-14 11:01:48.097,0.67,0.43,-9.45
2024-08-14 11:01:48.123,0.67,0.43,-9.45
2024-08-14 11:01:48.153,0.67,0.43,-9.49
2024-08-14 11:01:48.153,0.71,0.39,-9.49
2024-08-14 11:01:48.175,0.67,0.39,-9.45
2024-08-14 11:01:48.175,0.63,0.43,-9.45
2024-08-14 11:01:48.175,0.63,0.47,-9.41
2024-08-14 11:01:48.195,0.67,0.43,-9.45
2024-08-14 11:01:48.222,0.63,0.43,-9.41
2024-08-14 11:01:48.222,0.71,0.47,-9.41
2024-08-14 11:01:48.222,0.71,0.39,-9.41
2024-08-14 11:01:48.253,0.71,0.43,-9.45
2024-08-14 11:01:48.271,0.67,0.47,-9.38
2024-08-14 11:01:48.288,0.67,0.43,-9.45
2024-08-14 11:01:48.289,0.71,0.47,-9.45
2024-08-14 11:01:48.340,0.67,0.43,-9.45
2024-08-14 11:01:48.350,0.67,0.43,-9.38
2024-08-14 11:01:48.370,0.67,0.43,-9.49
2024-08-14 11:01:48.370,0.71,0.43,-9.41
2024-08-14 11:01:48.370,0.63,0.47,-9.49
2024-08-14 11:01:48.370,0.67,0.43,-9.41
2024-08-14 11:01:48.370,0.71,0.39,-9.41
2024-08-14 11:01:48.372,0.67,0.47,-9.45
2024-08-14 11:01:48.372,0.67,0.43,-9.41
2024-08-14 11:01:48.400,0.63,0.43,-9.41
2024-08-14 11:01:48.431,0.67,0.43,-9.45
2024-08-14 11:01:48.431,0.67,0.43,-9.45
2024-08-14 11:01:48.431,0.63,0.47,-9.41
2024-08-14 11:01:48.455,0.67,0.47,-9.41
2024-08-14 11:01:48.465,0.63,0.43,-9.41
2024-08-14 11:01:48.465,0.67,0.47,-9.45
2024-08-14 11:01:48.465,0.67,0.47,-9.41
2024-08-14 11:01:48.495,0.67,0.43,-9.41
2024-08-14 11:01:48.503,0.67,0.43,-9.41
2024-08-14 11:01:48.513,0.67,0.47,-9.45
2024-08-14 11:01:48.532,0.71,0.39,-9.38
2024-08-14 11:01:48.540,0.67,0.43,-9.45
2024-08-14 11:01:48.540,0.63,0.43,-9.45
2024-08-14 11:01:48.570,0.67,0.47,-9.41
2024-08-14 11:01:48.577,0.71,0.39,-9.41
2024-08-14 11:01:48.577,0.71,0.43,-9.41
2024-08-14 11:01:48.606,0.71,0.43,-9.45
2024-08-14 11:01:48.610,0.63,0.47,-9.41
2024-08-14 11:01:48.627,0.71,0.47,-9.49
2024-08-14 11:01:48.627,0.67,0.43,-9.45
2024-08-14 11:01:48.651,0.67,0.39,-9.45
2024-08-14 11:01:48.678,0.63,0.43,-9.41
2024-08-14 11:01:48.678,0.67,0.47,-9.45
2024-08-14 11:01:48.678,0.67,0.43,-9.38
2024-08-14 11:01:48.698,0.63,0.51,-9.34
2024-08-14 11:01:48.705,0.67,0.47,-9.45
2024-08-14 11:01:48.705,0.71,0.39,-9.45
2024-08-14 11:01:48.738,0.71,0.47,-9.45
2024-08-14 11:01:48.744,0.71,0.43,-9.41
2024-08-14 11:01:48.744,0.67,0.43,-9.49
2024-08-14 11:01:48.771,0.67,0.39,-9.45
2024-08-14 11:01:48.782,0.67,0.43,-9.41
2024-08-14 11:01:48.782,0.67,0.43,-9.45
2024-08-14 11:01:48.808,0.67,0.43,-9.49
2024-08-14 11:01:48.837,0.67,0.39,-9.45
2024-08-14 11:01:48.837,0.63,0.43,-9.45
2024-08-14 11:01:48.851,0.71,0.43,-9.45
2024-08-14 11:01:48.851,0.71,0.43,-9.45
2024-08-14 11:01:48.872,0.59,0.47,-9.45
2024-08-14 11:01:48.872,0.71,0.39,-9.49
2024-08-14 11:01:48.894,0.67,0.43,-9.45
2024-08-14 11:01:48.903,0.67,0.43,-9.45
2024-08-14 11:01:48.912,0.67,0.47,-9.45
2024-08-14 11:01:48.912,0.71,0.43,-9.41
2024-08-14 11:01:48.959,0.63,0.47,-9.41
2024-08-14 11:01:48.959,0.63,0.43,-9.45
2024-08-14 11:01:48.959,0.67,0.43,-9.49
2024-08-14 11:01:48.979,0.71,0.39,-9.45
2024-08-14 11:01:49.001,0.67,0.47,-9.38
