Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2),Person_ID,Label,Smoothed_Label
3048698,0.2,0.0,-9.53,Person_1,Static,Static
3048710,0.2,0.0,-9.49,Person_1,Static,Static
3048722,0.2,0.0,-9.57,Person_1,Static,Static
3048734,0.16,0.04,-9.53,Person_1,Static,Static
3048746,0.2,0.04,-9.53,Person_1,Static,Static
3048758,0.2,0.04,-9.53,Person_1,Static,Static
3048770,0.2,0.0,-9.53,Person_1,Static,Static
3048782,0.24,0.04,-9.49,Person_1,Static,Static
3048794,0.24,0.04,-9.49,Person_1,Static,Static
3048806,0.16,0.0,-9.57,Person_1,Static,Static
3048818,0.2,0.0,-9.57,Person_1,Static,Static
3048830,0.2,0.0,-9.57,Person_1,Static,Static
3048842,0.2,0.0,-9.49,Person_1,Static,Static
3048854,0.16,0.0,-9.49,Person_1,Static,Static
3048866,0.16,0.0,-9.53,Person_1,Static,Static
3048878,0.16,0.0,-9.57,Person_1,Static,Static
3048890,0.2,0.04,-9.57,Person_1,Static,Static
3048902,0.16,0.04,-9.53,Person_1,Static,Static
3048914,0.2,0.0,-9.53,Person_1,Static,Static
3048926,0.2,0.04,-9.53,Person_1,Static,Static
3048938,0.2,0.0,-9.53,Person_1,Static,Static
3048950,0.2,0.0,-9.53,Person_1,Static,Static
3048962,0.16,0.0,-9.53,Person_1,Static,Static
3048974,0.2,0.04,-9.53,Person_1,Static,Static
3048986,0.24,0.0,-9.61,Person_1,Static,Static
3048998,0.2,0.0,-9.53,Person_1,Static,Static
3049010,0.16,0.0,-9.57,Person_1,Static,Static
3049022,0.16,0.0,-9.53,Person_1,Static,Static
3049034,0.2,0.0,-9.53,Person_1,Static,Static
3049046,0.2,0.04,-9.53,Person_1,Static,Static
3049058,0.2,0.0,-9.57,Person_1,Static,Static
3049070,0.16,0.0,-9.57,Person_1,Static,Static
3049082,0.16,0.0,-9.57,Person_1,Static,Static
3049094,0.24,0.04,-9.53,Person_1,Static,Static
3049106,0.2,0.04,-9.53,Person_1,Static,Static
3049118,0.16,0.0,-9.57,Person_1,Static,Static
3049130,0.16,0.04,-9.53,Person_1,Static,Static
3049142,0.16,0.04,-9.49,Person_1,Static,Static
3049154,0.2,0.0,-9.57,Person_1,Static,Static
3049166,0.24,0.04,-9.53,Person_1,Static,Static
3049178,0.2,0.04,-9.53,Person_1,Static,Static
3049190,0.24,0.04,-9.57,Person_1,Static,Static
3049202,0.24,0.0,-9.57,Person_1,Static,Static
3049214,0.16,0.04,-9.53,Person_1,Static,Static
3049226,0.2,0.0,-9.49,Person_1,Static,Walking
3049238,0.16,0.0,-9.53,Person_1,Static,Walking
3049250,0.16,0.0,-9.49,Person_1,Static,Walking
3049262,0.2,0.04,-9.57,Person_1,Static,Walking
3049274,0.16,0.08,-8.79,Person_1,Walking,Walking
3049286,0.27,0.16,-9.06,Person_1,Walking,Walking
3049298,0.16,0.04,-9.38,Person_1,Walking,Walking
3049310,0.16,0.04,-9.41,Person_1,Walking,Walking
3049322,0.16,0.0,-9.26,Person_1,Walking,Walking
3049334,0.16,0.0,-9.77,Person_1,Walking,Walking
3049346,0.2,0.04,-9.38,Person_1,Static,Walking
3049358,0.16,0.04,-9.41,Person_1,Static,Walking
3049370,0.24,-0.04,-9.69,Person_1,Static,Walking
3049382,0.16,0.04,-9.53,Person_1,Static,Walking
3049394,0.2,0.0,-9.53,Person_1,Static,Walking
3049406,0.12,0.04,-9.57,Person_1,Static,Static
3049418,0.16,0.04,-9.49,Person_1,Static,Static
3049430,0.16,0.0,-9.49,Person_1,Static,Static
3049442,0.16,0.0,-9.61,Person_1,Static,Static
3049454,0.2,0.0,-9.57,Person_1,Static,Static
3049466,0.24,0.0,-9.57,Person_1,Static,Static
3049478,0.2,0.0,-9.57,Person_1,Static,Static
3049490,0.2,0.0,-9.57,Person_1,Static,Static
3049502,0.2,0.0,-9.61,Person_1,Static,Static
3049514,0.16,0.04,-9.53,Person_1,Static,Static
3049526,0.2,0.04,-9.49,Person_1,Static,Static
3049538,0.24,0.0,-9.57,Person_1,Static,Static
3049550,0.16,0.04,-9.53,Person_1,Static,Static
3049562,0.2,0.0,-9.53,Person_1,Static,Static
3049574,0.16,0.0,-9.53,Person_1,Static,Static
3049586,0.16,0.04,-9.53,Person_1,Static,Static
3049598,0.2,0.0,-9.49,Person_1,Static,Static
3049610,0.2,0.0,-9.49,Person_1,Static,Static
3049622,0.16,0.0,-9.53,Person_1,Static,Static
3049634,0.2,0.04,-9.53,Person_1,Static,Static
