Timestamp,X(m/s^2),Y(m/s^2),Z(m/s^2),Label
2024-08-15 10:13:55.429,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:55.437,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:55.437,0.67,0.2,-9.45,Stationary
2024-08-15 10:13:55.437,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:55.467,0.71,0.16,-9.41,Stationary
2024-08-15 10:13:55.471,0.67,0.16,-9.41,Stationary
2024-08-15 10:13:55.471,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:55.514,0.71,0.12,-9.41,Stationary
2024-08-15 10:13:55.517,0.67,0.16,-9.41,Stationary
2024-08-15 10:13:55.544,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:55.548,0.67,0.12,-9.41,Stationary
2024-08-15 10:13:55.555,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:55.555,0.67,0.16,-9.41,Stationary
2024-08-15 10:13:55.562,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:55.589,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:55.593,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:55.598,0.63,0.16,-9.49,Stationary
2024-08-15 10:13:55.605,0.71,0.16,-9.41,Stationary
2024-08-15 10:13:55.617,0.67,0.12,-9.49,Stationary
2024-08-15 10:13:55.628,0.75,0.12,-9.45,Stationary
2024-08-15 10:13:55.657,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:55.662,0.67,0.16,-9.41,Stationary
2024-08-15 10:13:55.667,0.71,0.16,-9.45,Stationary
2024-08-15 10:13:55.694,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:55.697,0.67,0.16,-9.45,Stationary
2024-08-15 10:13:55.704,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:55.733,0.67,0.16,-9.41,Stationary
2024-08-15 10:13:55.737,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:55.742,0.71,0.12,-9.49,Stationary
2024-08-15 10:13:55.749,0.67,0.12,-9.45,Stationary
2024-08-15 10:13:55.778,0.67,0.16,-9.38,Stationary
2024-08-15 10:13:55.781,0.71,0.12,-9.45,Stationary
2024-08-15 10:13:55.786,0.71,0.16,-9.53,Stationary
2024-08-15 10:13:55.813,0.67,0.12,-9.49,Stationary
