Timestamp(ms),X(m/s^2),Y(m/s^2),Z(m/s^2),state
[2024-08-15 10:17:12.772] 0.67, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.772] 0.67, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.772] 0.71, 0.12, -9.38, Stationary
[2024-08-15 10:17:12.772] 0.63, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.772] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.772] 0.67, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.772] 0.67, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.789] 0.67, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.789] 0.67, 0.24, -9.49, Stationary
[2024-08-15 10:17:12.789] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.789] 0.71, 0.20, -9.41, Stationary
[2024-08-15 10:17:12.789] 0.67, 0.12, -9.41, Stationary
[2024-08-15 10:17:12.789] 0.71, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.789] 0.71, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.789] 0.75, 0.12, -9.41, Stationary
[2024-08-15 10:17:12.789] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.789] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.789] 0.71, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.789] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.789] 0.71, 0.16, -9.53, Stationary
[2024-08-15 10:17:12.789] 0.67, 0.16, -9.41, Stationary
[2024-08-15 10:17:12.789] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.789] 0.71, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.789] 0.67, 0.16, -9.49, Stationary
[2024-08-15 10:17:12.808] 0.67, 0.12, -9.49, Stationary
[2024-08-15 10:17:12.808] 0.67, 0.16, -9.45, Stationary
[2024-08-15 10:17:12.808] 0.67, 0.12, -9.45, Stationary
[2024-08-15 10:17:12.808] 0.67, 0.12, -9.45, Stationary
