Timestamp (ms), X (m/s^2), Y (m/s^2), Z (m/s^2)
5078015, 0.71, 0.43, -9.38
5078027, 0.67, 0.51, -9.45
5078039, 0.67, 0.43, -9.45
5078051, 0.71, 0.43, -9.34
5078063, 0.67, 0.51, -9.45
5078075, 0.67, 0.51, -9.38
5078087, 0.71, 0.43, -9.45
5078099, 0.71, 0.51, -9.45
5078111, 0.75, 0.47, -9.45
5078123, 0.71, 0.43, -9.41
5078135, 0.63, 0.47, -9.41
5078147, 0.71, 0.47, -9.45
5078159, 0.67, 0.47, -9.38
5078171, 0.71, 0.47, -9.41
5078183, 0.75, 0.43, -9.38
5078195, 0.71, 0.51, -9.38
5078207, 0.71, 0.47, -9.38
5078219, 0.67, 0.47, -9.49
5078231, 0.71, 0.43, -9.49
5078243, 0.71, 0.43, -9.41
5078255, 0.71, 0.47, -9.38
5078267, 0.71, 0.47, -9.45
5078279, 0.71, 0.39, -9.45
5078291, 0.71, 0.51, -9.45
5078303, 0.71, 0.43, -9.45
5078315, 0.67, 0.51, -9.41
5078327, 0.71, 0.43, -9.45
5078339, 0.71, 0.51, -9.49
5078351, 0.67, 0.47, -9.41
5078063, 0.67, 0.51, -9.45
5078075, 0.67, 0.51, -9.38
5078087, 0.71, 0.43, -9.45
5078099, 0.71, 0.51, -9.45
5078111, 0.75, 0.47, -9.45
5078123, 0.71, 0.43, -9.41
5078135, 0.63, 0.47, -9.41
5078147, 0.71, 0.47, -9.45
5078159, 0.67, 0.47, -9.38
5078171, 0.71, 0.47, -9.41
5078183, 0.75, 0.43, -9.38
5078195, 0.71, 0.51, -9.38
5078207, 0.71, 0.47, -9.38
5078219, 0.67, 0.47, -9.49
5078231, 0.71, 0.43, -9.49
5078243, 0.71, 0.43, -9.41
5078255, 0.71, 0.47, -9.38
5078267, 0.71, 0.47, -9.45
5078279, 0.71, 0.39, -9.45
5078291, 0.71, 0.51, -9.45
5078303, 0.71, 0.43, -9.45
5078315, 0.67, 0.51, -9.41
5078327, 0.71, 0.43, -9.45
5078339, 0.71, 0.51, -9.49
5078351, 0.67, 0.47, -9.41
5078363, 0.71, 0.47, -9.38
5078375, 0.71, 0.47, -9.34
5078387, 0.75, 0.51, -9.49
5078399, 0.67, 0.51, -9.41
5078411, 0.71, 0.47, -9.41
5078423, 0.71, 0.47, -9.41
5078435, 0.71, 0.47, -9.41
5078447, 0.71, 0.51, -9.38
5078459, 0.63, 0.51, -9.41
5078471, 0.71, 0.43, -9.45
5078483, 0.67, 0.51, -9.38
5078495, 0.71, 0.51, -9.45
5078507, 0.71, 0.47, -9.38
5078519, 0.67, 0.51, -9.41
5078531, 0.67, 0.51, -9.41
5078543, 0.67, 0.47, -9.41
5078555, 0.67, 0.43, -9.45
5078567, 0.75, 0.47, -9.41
5078579, 0.71, 0.47, -9.34
5078591, 0.71, 0.47, -9.41
5078603, 0.75, 0.47, -9.45
5078615, 0.67, 0.51, -9.45
5078627, 0.67, 0.43, -9.41
5078639, 0.67, 0.43, -9.41
5078651, 0.67, 0.47, -9.41
5078663, 0.67, 0.43, -9.45
5078675, 0.67, 0.47, -9.45
5078687, 0.71, 0.47, -9.41
5078699, 0.71, 0.47, -9.45
5078711, 0.71, 0.47, -9.45
5078723, 0.71, 0.47, -9.45
5078735, 0.67, 0.51, -9.49
5078747, 0.71, 0.47, -9.38
5078759, 0.67, 0.43, -9.41
5078771, 0.67, 0.43, -9.38
5078783, 0.67, 0.47, -9.49
5078795, 0.67, 0.47, -9.34
5078807, 0.71, 0.51, -9.38
5078819, 0.67, 0.47, -9.38
5078831, 0.63, 0.43, -9.41
5078843, 0.71, 0.47, -9.38
5078855, 0.67, 0.51, -9.45
5078867, 0.67, 0.47, -9.41
5078879, 0.67, 0.43, -9.41
5078879, 0.67, 0.43, -9.41
5078891, 0.67, 0.43, -9.34
5078903, 0.67, 0.51, -9.41
5078915, 0.71, 0.51, -9.45
5078927, 0.67, 0.47, -9.41
5078939, 0.71, 0.47, -9.41
5078951, 0.63, 0.47, -9.45
5078963, 0.71, 0.51, -9.38
5078975, 0.71, 0.47, -9.41
5078987, 0.71, 0.47, -9.41
5078999, 0.71, 0.51, -9.38
5079011, 0.75, 0.51, -9.41
5079023, 0.71, 0.47, -9.41
5079035, 0.71, 0.47, -9.45
5079047, 0.67, 0.51, -9.41
5079059, 0.71, 0.47, -9.45
5079071, 0.67, 0.51, -9.49
5079083, 0.67, 0.47, -9.41
5079095, 0.67, 0.47, -9.41
5079107, 0.71, 0.47, -9.38
5079119, 0.67, 0.51, -9.41
5079131, 0.71, 0.43, -9.45
5079143, 0.67, 0.43, -9.41
5079155, 0.67, 0.43, -9.41
5079167, 0.71, 0.47, -9.41
5079179, 0.71, 0.47, -9.41
5079191, 0.71, 0.47, -9.41
5078903, 0.67, 0.51, -9.41
5078915, 0.71, 0.51, -9.45
5078927, 0.67, 0.47, -9.41
5078939, 0.71, 0.47, -9.41
5078951, 0.63, 0.47, -9.45
5078963, 0.71, 0.51, -9.38
5078975, 0.71, 0.47, -9.41
5078987, 0.71, 0.47, -9.41
5078999, 0.71, 0.51, -9.38
5079011, 0.75, 0.51, -9.41
5079023, 0.71, 0.47, -9.41
5079035, 0.71, 0.47, -9.45
5079047, 0.67, 0.51, -9.41
5079059, 0.71, 0.47, -9.45
5079071, 0.67, 0.51, -9.49
5079083, 0.67, 0.47, -9.41
5079095, 0.67, 0.47, -9.41
5079107, 0.71, 0.47, -9.38
5079119, 0.67, 0.51, -9.41
5079131, 0.71, 0.43, -9.45
5079143, 0.67, 0.43, -9.41
5079155, 0.67, 0.43, -9.41
5079167, 0.71, 0.47, -9.41
5079179, 0.71, 0.47, -9.41
5079191, 0.71, 0.47, -9.41
5079203, 0.71, 0.43, -9.41
5079215, 0.67, 0.55, -9.41
5079227, 0.71, 0.51, -9.45
5079239, 0.67, 0.55, -9.45
5079251, 0.67, 0.51, -9.41
5079263, 0.71, 0.47, -9.41
5079275, 0.71, 0.43, -9.45
5079287, 0.71, 0.43, -9.41
5079299, 0.71, 0.47, -9.41
5079311, 0.67, 0.43, -9.45
5079323, 0.71, 0.43, -9.45
5079335, 0.67, 0.47, -9.45
5079347, 0.67, 0.51, -9.41
5079359, 0.71, 0.47, -9.45
5079371, 0.67, 0.51, -9.41
5079383, 0.71, 0.47, -9.45
5079395, 0.71, 0.43, -9.41
5079407, 0.75, 0.47, -9.45
5079419, 0.75, 0.43, -9.38
5079431, 0.67, 0.43, -9.49
5079443, 0.71, 0.43, -9.45
5079455, 0.71, 0.47, -9.41
5079467, 0.71, 0.43, -9.45
5079479, 0.71, 0.47, -9.41
5079491, 0.71, 0.43, -9.41
5079503, 0.75, 0.43, -9.45
5079515, 0.67, 0.47, -9.41
5079527, 0.67, 0.51, -9.41
5079539, 0.75, 0.55, -9.38
5079551, 0.75, 0.43, -9.34
5079563, 0.67, 0.43, -9.53
5079575, 0.67, 0.47, -9.38
5079587, 0.67, 0.47, -9.41
5079599, 0.67, 0.47, -9.49
5079611, 0.67, 0.51, -9.45
5079623, 0.67, 0.51, -9.34
5079635, 0.71, 0.55, -9.45
5079647, 0.71, 0.47, -9.41
5079659, 0.71, 0.47, -9.45
5079671, 0.67, 0.47, -9.41
5079683, 0.71, 0.43, -9.49
5079695, 0.67, 0.39, -9.41
5079707, 0.71, 0.43, -9.45
5079719, 0.67, 0.51, -9.45
5079731, 0.71, 0.55, -9.41
5079743, 0.71, 0.51, -9.41
5079755, 0.63, 0.47, -9.45
5079767, 0.71, 0.47, -9.41
5079779, 0.67, 0.47, -9.45
5079791, 0.75, 0.43, -9.41
5079803, 0.71, 0.47, -9.41
5079815, 0.71, 0.43, -9.45
5079827, 0.71, 0.47, -9.34
5079839, 0.71, 0.47, -9.34
5079851, 0.71, 0.47, -9.41
5079863, 0.67, 0.51, -9.41
5079875, 0.67, 0.47, -9.41
5079887, 0.67, 0.51, -9.41
5079899, 0.71, 0.51, -9.45
5079911, 0.71, 0.47, -9.41
5079923, 0.67, 0.51, -9.41
5079935, 0.67, 0.47, -9.34
5079947, 0.71, 0.47, -9.45
5079959, 0.71, 0.47, -9.41
5079971, 0.67, 0.43, -9.45
5079983, 0.71, 0.47, -9.41
5079995, 0.71, 0.51, -9.45
